,dimension,graph name,graph type,volume ratio
0,6.0,twok2,graph,1.0
1,7.0,claw,graph,1.0
2,7.0,P4,graph,1.0
3,8.0,C4,graph,0.9411764705882353
4,8.0,paw,graph,0.6575342465753425
5,9.0,diamond,graph,0.4444444444444444
6,10.0,K4,graph,0.237037037037037
7,9.0,flagpole,hypergraph,1.0
7,11.0,overtwo,hypergraph,1.0
8,10.0,basket,hypergraph,0.711111111111111
9,11.0,tripod,hypergraph,0.3938730853391685
10,12.0,overtwoconnect,hypergraph,0.5245901639344263
11,13.0,overthree,hypergraph,0.44444444444444436
11,14.0,overfour,hypergraph,0.23663792980499732
